http://dbpedia.org/resource/Francesco_Acerbi
[Start]/[End];2006[NA, NA, 1];2007[NA, NA, 1];2008[NA, NA, 1];2010[NA, NA, 1];2011[NA, NA, 1];
1953-01-03[start, term, 1];[X];[X];[X];[1];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];
1961[start, state, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];
1961[start, labor, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, health,education,andwelfare, 1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, defense, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, commerce, 1];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, vicepresident, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, interior, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];
1961[start, justice, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, agriculture, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, treasury, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];
1961[start, president, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961[start, post, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1961-01-20[start, activeyearsdate, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];
1961-01-20[start, term, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];
1962[start, labor, 1];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];
1962[start, health,education,andwelfare, 1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1963[NA, NA, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[1];[X];[X];[X];[X];[X];[X];[X];
http://dbpedia.org/resource/George_W._Bush
[Start]/[End];1968[NA, NA, 1];1974-01-01[end, serviceyear, 1];19941998[NA, NA, 1];1995[NA, NA, 1];2000-12-21[end, activeyearsdate, 1];2000-12-21[end, term, 1];20002004[NA, NA, 1];2001[NA, NA, 1];2004[NA, NA, 1];2009-01-20[end, activeyearsdate, 1];2009-01-20[end, term, 1];
1946-07-06[start, dateof, 1];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1946-07-06[start, date, 2];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];[X];
1968[NA, NA, 1];[1];[X];[1];[1];[X];[X];[1];[1];[1];[X];[X];
1968-01-01[start, serviceyear, 1];[X];[1];[X];[X];[X];[X];[X];[X];[X];[X];[X];
19941998[NA, NA, 1];[X];[X];[1];[X];[X];[X];[1];[X];[X];[X];[X];
1995[NA, NA, 1];[X];[X];[1];[1];[X];[X];[1];[1];[1];[X];[X];
