/en/gareth_bale	 plays_for	 Tottenham Hotspur F.C.	 2007	 null
/en/gareth_bale	 plays_for	 Wales national football team	 2006	 null
/en/gareth_bale	 plays_for	 Southampton F.C.	 2006	 2007
/en/luciano_becchio	 plays_for	 Leeds United A.F.C.	 2008	 2013
/en/luciano_becchio	 plays_for	 Norwich City F.C.	 2013	 null
/en/mikel_john_obi	 plays_for	 Chelsea F.C.	 2006	 null
/en/mathieu_valbuena	 plays_for	 Olympique de Marseille	 2006-07-01	 null
/en/mathieu_valbuena	 plays_for	 France national football team	 2010	 null
/en/mathieu_valbuena	 plays_for	 Football Club Libourne	 2004	 2006
/en/yohan_cabaye	 plays_for	 Lille OSC	 2004	 2011
/en/yohan_cabaye	 plays_for	 France national football team	 2010	 null
/en/yohan_cabaye	 plays_for	 Newcastle United F.C.	 2011	 null
/en/marouane_chamakh	 plays_for	 FC Girondins de Bordeaux	 2002	 2010
/en/marouane_chamakh	 plays_for	 Morocco national football team	 2003	 null
/en/marouane_chamakh	 plays_for	 Arsenal F.C.	 2010	 2013
/en/marouane_chamakh	 plays_for	 West Ham United F.C.	 2013	 null
/en/olivier_giroud	 plays_for	 France national football team	 2011	 null
/en/olivier_giroud	 plays_for	 Montpellier HSC	 2010	 2012
/en/olivier_giroud	 plays_for	 Grenoble Foot 38	 2005	 2008
/en/olivier_giroud	 plays_for	 FC Istres	 2007	 2008
/en/olivier_giroud	 plays_for	 Tours FC	 2008	 2010
/en/olivier_giroud	 plays_for	 Arsenal F.C.	 2012	 null
/en/steve_morison	 plays_for	 Stevenage F.C.	 2006	 2009
/en/steve_morison	 plays_for	 Millwall F.C.	 2009	 2011
/en/steve_morison	 plays_for	 Wales national football team	 2010	 null
/en/steve_morison	 plays_for	 Norwich City F.C.	 2011	 2013
/en/steve_morison	 plays_for	 Northampton Town F.C.	 2001	 2004
/en/steve_morison	 plays_for	 Bishop's Stortford F.C.	 2004	 2006
/en/steve_morison	 plays_for	 Leeds United A.F.C.	 2013-01	 null
/en/kevin-prince_boateng	 plays_for	 Hertha BSC II	 2004	 2007
/en/kevin-prince_boateng	 plays_for	 Portsmouth F.C.	 2009	 2010
/en/kevin-prince_boateng	 plays_for	 Hertha BSC Berlin	 2005	 2007
/en/kevin-prince_boateng	 plays_for	 Genoa C.F.C.	 2010-08-14	 2010-08-23
/en/kevin-prince_boateng	 plays_for	 Tottenham Hotspur F.C.	 2007	 2009
/en/kevin-prince_boateng	 plays_for	 A.C. Milan	 2010	 null
/en/kevin-prince_boateng	 plays_for	 Borussia Dortmund	 2009	 2009
/en/joe_ledley	 plays_for	 Cardiff City F.C.	 2004	 2010
/en/joe_ledley	 plays_for	 Wales national football team	 2005	 null
/en/joe_ledley	 plays_for	 Celtic F.C.	 2010-07-12	 null
/en/raul_meireles	 plays_for	 Futebol Clube do Porto	 2004	 2010
/en/raul_meireles	 plays_for	 Portugal national football team	 2006	 null
/en/raul_meireles	 plays_for	 Chelsea F.C.	 2011	 2012
/en/raul_meireles	 plays_for	 Boavista F.C.	 2001	 2004
/en/raul_meireles	 plays_for	 Liverpool F.C.	 2010	 2011
/en/raul_meireles	 plays_for	 C.D. Aves	 2001	 2003
/en/raul_meireles	 plays_for	 Fenerbahçe S.K.	 2012	 null
/en/salomon_kalou	 plays_for	 Chelsea F.C.	 2006	 2012-06-30
/en/salomon_kalou	 plays_for	 Ivory Coast national football team	 2007	 null
/en/salomon_kalou	 plays_for	 ASEC Mimosas	 2002	 2003
/en/salomon_kalou	 plays_for	 S.B.V. Excelsior	 2004	 2004
/en/salomon_kalou	 plays_for	 Feyenoord	 2003	 2006
/en/salomon_kalou	 plays_for	 Lille OSC	 2012	 null
/en/javier_mascherano	 plays_for	 Liverpool F.C.	 2007	 2010
/en/javier_mascherano	 plays_for	 Argentina national football team	 2003	 null
/en/javier_mascherano	 plays_for	 FC Barcelona	 2010-08-28	 null
/en/javier_mascherano	 plays_for	 West Ham United F.C.	 2006	 2007
/en/javier_mascherano	 plays_for	 Club Atlético River Plate	 2003	 2005
/en/javier_mascherano	 plays_for	 Sport Club Corinthians Paulista	 2005	 2006
/en/nicklas_bendtner	 plays_for	 Arsenal F.C.	 2005	 2012
/en/nicklas_bendtner	 plays_for	 Denmark national football team	 2006	 null
/en/nicklas_bendtner	 plays_for	 Sunderland A.F.C.	 2011	 2012
/en/nicklas_bendtner	 plays_for	 Birmingham City F.C.	 2006	 2007
/en/nicklas_bendtner	 plays_for	 Juventus F.C.	 2012-08-31	 null
/en/lukas_podolski	 plays_for	 FC Bayern Munich	 2006	 2009
/en/lukas_podolski	 plays_for	 1. FC Köln	 2003	 2006
/en/lukas_podolski	 plays_for	 1. FC Köln	 2009	 2012
