http://dbpedia.org/resource/Cristiano_Ronaldo	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Manchester_United_F.C.	2003	2009		
http://dbpedia.org/resource/Cristiano_Ronaldo	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Sporting_Clube_de_Portugal	2002	2003		
http://dbpedia.org/resource/Cristiano_Ronaldo	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Real_Madrid_C.F.	2009	NOW		
http://dbpedia.org/resource/Lionel_Messi	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/FC_Barcelona	2004	NOW		
http://dbpedia.org/resource/Lionel_Messi	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/FC_Barcelona_C	2003	2004		
http://dbpedia.org/resource/Lionel_Messi	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/FC_Barcelona_B	2004	2005		
http://dbpedia.org/resource/Eden_Hazard	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Lille_OSC	2007	2012		
http://dbpedia.org/resource/Eden_Hazard	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Chelsea_F.C.	2012	NOW		
http://dbpedia.org/resource/Karim_Benzema	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Olympique_Lyonnais_Reserves_and_Academy	2004	2006		
http://dbpedia.org/resource/Karim_Benzema	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Olympique_Lyonnais	2004	2009		
http://dbpedia.org/resource/Karim_Benzema	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Real_Madrid_C.F.	2009	NOW		
http://dbpedia.org/resource/Sebastian_Giovinco	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Empoli_F.C.	2007	2008		
http://dbpedia.org/resource/Sebastian_Giovinco	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Juventus_F.C.	2006	NOW		
http://dbpedia.org/resource/Sebastian_Giovinco	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Parma_F.C.	2010	2012		
http://dbpedia.org/resource/Wayne_Rooney	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Manchester_United_F.C.	2004	NOW		
http://dbpedia.org/resource/Wayne_Rooney	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Everton_F.C.	2002	2004		
http://dbpedia.org/resource/Samir_Nasri	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Arsenal_F.C.	2008	2011		
http://dbpedia.org/resource/Samir_Nasri	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Manchester_City_F.C.	2011	NOW		
http://dbpedia.org/resource/Samir_Nasri	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Olympique_de_Marseille	2004	2008		
http://dbpedia.org/resource/Robin_van_Persie	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Feyenoord	2001	2004		
http://dbpedia.org/resource/Robin_van_Persie	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Arsenal_F.C.	2004	2012		
http://dbpedia.org/resource/Robin_van_Persie	http://dbpedia.org/ontology/team	http://dbpedia.org/resource/Manchester_United_F.C.	2012	NOW		
